dystans_cm,powtorzenie,nr_probki,h_tors
500.0,1,24,49.0
500.0,1,25,47.0
500.0,1,26,48.0
500.0,1,27,48.0
500.0,1,28,49.0
500.0,1,29,48.0
500.0,1,30,48.0
500.0,2,1,47.5
500.0,2,2,46.5
500.0,2,3,47.5
500.0,2,4,48.5
500.0,2,5,48.0
500.0,2,6,46.5
500.0,2,7,47.0
500.0,2,8,46.5
500.0,2,9,46.0
500.0,2,10,48.0
500.0,2,11,47.5
500.0,2,12,48.0
500.0,2,13,46.0
500.0,2,14,46.5
500.0,2,15,46.5
500.0,2,16,48.5
500.0,2,17,47.0
500.0,2,18,46.0
500.0,2,19,46.5
500.0,2,20,46.0
500.0,2,21,47.5
500.0,2,22,48.0
500.0,2,23,47.5
500.0,2,24,48.5
500.0,2,25,48.0
500.0,2,26,48.0
500.0,2,27,48.0
500.0,2,28,48.0
500.0,2,29,48.5
500.0,2,30,47.5
500.0,3,1,48.0
500.0,3,2,48.5
500.0,3,3,47.0
500.0,3,4,47.0
500.0,3,5,47.0
500.0,3,6,48.0
500.0,3,7,47.0
500.0,3,8,47.0
500.0,3,9,47.0
500.0,3,10,47.0
500.0,3,11,47.0
500.0,3,12,47.0
500.0,3,13,47.0
500.0,3,14,46.0
500.0,3,15,46.5
500.0,3,16,46.5
500.0,3,17,46.5
500.0,3,18,46.5
500.0,3,19,47.0
500.0,3,20,47.5
500.0,3,21,46.5
500.0,3,22,47.5
500.0,3,23,49.0
500.0,3,24,48.5
500.0,3,25,49.0
500.0,3,26,48.0
500.0,3,27,48.0
500.0,3,28,47.5
500.0,3,29,46.5
500.0,3,30,47.5
600.0,1,1,39.5
600.0,1,2,38.0
600.0,1,3,41.5
600.0,1,4,38.0
600.0,1,5,39.0
600.0,1,6,40.0
600.0,1,7,39.5
600.0,1,8,39.0
600.0,1,9,40.5
600.0,1,10,40.5
600.0,1,11,39.5
600.0,1,12,40.0
600.0,1,13,39.5
600.0,1,14,39.5
600.0,1,15,39.5
600.0,1,16,39.5
600.0,1,17,40.5
600.0,1,18,38.5
600.0,1,19,39.5
600.0,1,20,40.0
600.0,1,21,40.0
600.0,1,22,41.0
600.0,1,23,42.0
600.0,1,24,42.5
600.0,1,25,41.0
600.0,1,26,40.5
600.0,1,27,40.5
600.0,1,28,40.5
600.0,1,29,40.5
600.0,1,30,40.5
